area_type,availability,location,size,society,total_sqft,bath,balcony,price,lat,lon
Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,Coomee ,1056,2.0,1.0,39.07,12.8468545,77.6769267
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,Theanmp,2600,5.0,3.0,120.0,12.8957681,77.8671014
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1440,2.0,3.0,62.0,12.9055682,77.5455438
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1521,3.0,1.0,95.0,Lingadheeranahalli,Lingadheeranahalli
Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1200,2.0,1.0,51.0,12.5805368,77.3330675
Super built-up  Area,Ready To Move,Whitefield,2 BHK,DuenaTa,1170,2.0,1.0,38.0,44.3730577,-71.6118577
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,,1310,3.0,1.0,63.25,12.9552572,77.6984163
Super built-up  Area,18-Feb,Whitefield,3 BHK,,1800,2.0,2.0,70.0,44.3730577,-71.6118577
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Prrry M,2785,5.0,3.0,295.0,44.3730577,-71.6118577
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Shncyes,1000,2.0,1.0,38.0,12.91180425,77.5874942
Built-up  Area,Ready To Move,Gottigere,2 BHK,,1100,2.0,2.0,40.0,12.8565317,77.5877237
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Skityer,2250,3.0,2.0,148.0,12.9116225,77.6388622
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,1175,2.0,2.0,73.5,12.3872141,76.6669626
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1180,3.0,2.0,48.0,Bisuvanahalli,Bisuvanahalli
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1540,3.0,3.0,60.0,17.3347866,78.6008776
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,PeBayle,2770,4.0,2.0,290.0,12.9778951,77.5164792
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,,1100,2.0,2.0,48.0,Manayata Tech Park,Manayata Tech Park
Built-up  Area,Ready To Move,Kengeri,1 BHK,,600,1.0,1.0,15.0,12.9176571,77.4837568
Super built-up  Area,19-Dec,Binny Pete,3 BHK,She 2rk,1755,3.0,1.0,122.0,Binny Pete,Binny Pete
Plot  Area,Ready To Move,Thanisandra,4 Bedroom,Soitya ,2800,5.0,2.0,380.0,13.054713,77.6339258
Super built-up  Area,Ready To Move,Bellandur,3 BHK,,1767,3.0,1.0,103.0,12.93577245,77.66676103753434
Super built-up  Area,18-Nov, Thanisandra,1 RK,Bhe 2ko,510,1.0,0.0,25.25,13.054713,77.6339258
Super built-up  Area,18-May,Mangammanapalya,3 BHK,,1250,3.0,2.0,56.0,12.8957595,77.64570119478071
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,660,1.0,1.0,23.1,-6.1938201,106.8920008
Built-up  Area,20-Dec,Whitefield,3 BHK,,1610,3.0,2.0,81.0,44.3730577,-71.6118577
